Dcc, 10:54:48,039 	 DEBUG 	 AC 6: added token -> available tokens: 20 		
Dcc, 10:54:48,039 	 DEBUG 	 AC 0: added token -> available tokens: 20 		
Dcc, 10:54:48,039 	 DEBUG 	 AC 1: added token -> available tokens: 20 		
Dcc, 10:54:49,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:49,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:49,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:49,040 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:50,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:50,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:50,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:50,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:50,039 	 DEBUG 	 AC 4: added token -> available tokens: 21 		
Dcc, 10:54:50,040 	 DEBUG 	 AC 6: added token -> available tokens: 21 		
Dcc, 10:54:50,040 	 DEBUG 	 AC 0: added token -> available tokens: 21 		
Dcc, 10:54:50,040 	 DEBUG 	 AC 1: added token -> available tokens: 21 		
Dcc, 10:54:51,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:51,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:51,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:51,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:52,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:52,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:52,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:52,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:52,039 	 DEBUG 	 AC 4: added token -> available tokens: 22 		
Dcc, 10:54:52,039 	 DEBUG 	 AC 6: added token -> available tokens: 22 		
Dcc, 10:54:52,039 	 DEBUG 	 AC 0: added token -> available tokens: 22 		
Dcc, 10:54:52,039 	 DEBUG 	 AC 1: added token -> available tokens: 22 		
Dcc, 10:54:53,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:53,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:53,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:53,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:54,039 	 DEBUG 	 dccInfo sent 		
Dcc, 10:54:54,039 	 DEBUG 	 dccInfo sent 		
